Id,Clustering (Chinese Whispers)
v10,0
v59,0
v60,0
v67,0
v73,0
v76,0
v77,0
v90,0
v111,0
v125,0
v191,0
v224,0
v238,0
v265,0
v307,0
v343,0
v400,0
v408,0
v416,0
v590,0
v604,0
v656,0
v688,0
v824,0
v843,0
v850,0
v858,0
v893,0
v903,0
v927,0
v934,0
v980,0
v1045,0
v1097,0
v1105,0
v1107,0
v1126,0
v83,1
v84,1
v173,1
v200,1
v202,1
v310,1
v393,1
v452,1
v589,1
v615,1
v680,1
v710,1
v788,1
v813,1
v896,1
v905,1
v1024,1
v1088,1
v1089,1
v1121,1
v174,2
v198,2
v266,2
v524,2
v544,2
v798,2
v865,2
v932,2
v966,2
v1008,2
v1056,2
v1130,2
